id,question,ground_truth,llama3.1,llama3 1_instruct,fine_tuned_llama3 1,fine_tuned_llama3.1_instruct
2969,متى يُقبل طلب الرد؟,يُقبل طلب الرد إذا تم تقديمه قبل الدخول في الدعوى أو المحاكمة.,"The question is asking when the request for a reconsideration is accepted. The input provides context for the question, which is a law in Jordan. The law states that a request for a reconsideration is accepted if it is submitted to the president of the court of first instance if the request is from a judge of the court",يُقبل طلب الرد بتقديم استدعاء إلى رئيس محكمة البداية إذا كان المطلوب رده قاضي صلح أو أحد قضاة المحكمة البدائية أو إلى رئيس محكمة الاستئناف إذا كان قاضي استئناف أو رئيس,يُقبل طلب الرد قبل الدخول في الدعوى أو المحاكمة.,يُقبل طلب الرد في أول جلسة تلي الحادث إذا كان سبب الرد متولداً عن حدث طرأ بعد الدخول في الدعوى أو المحاكمة.
2284,ما هو الإجراء الذي يجوز اتخاذه حتى مع وقف الدعوى وفقاً للمادة 140؟,يجوز اتخاذ الإجراءات والتدابير الضرورية أو المستعجلة مثل التوقيف وإخلاء السبيل حتى مع وقف الدعوى.,"ما هو الإجراء الذي يجوز اتخاذه حتى مع وقف الدعوى وفقاً للمادة 140؟
الإجراء الذي يجوز اتخاذه حتى مع وقف الدعوى وفقاً للمادة 140 هو إجراء توقيف وإخلاء السبيل.","الإجابة الصحيحة هي: أن توقف الدعوى.  
لأن المادة 140 من قانون الاختصاصات تنص على أن يجوز للمحكمة وقف الدعوى حتى يتم الفصل في دعوى أخرى. وتحدد المادة 140 في فقرتها",يجوز للمحكمة أن توقف الدعوى وتحدد للمشتكى عليه أو للمدعي بالحق الشخصي أو للمجني عليه أجلًا لرفع المسألة إلى المحكمة المختصة.,اتخاذ الإجراءات الضرورية أو المستعجلة كالتوقيف وإخلاء السبيل.
3177,ما هو دور المحكمة وفقًا للمادة 34؟,دور المحكمة وفقًا للمادة 34 هو ترجيح البينة بين الأدلة والشهادات في الدعوى.,المحكمة هي الهيئة التي تقوم بمهمة التحكيم ووضع الأحكام.,"ينبغي للمحكمة أن ترجح بينة على أخرى وفاقاً لما تستخلصه من ظروف الدعوى، كما لا يجوز لها أن تصدر حكما في أية قضية بالاستناد الى شهادة شاهد فرد إلا إذا لم يعترض عليها ال",تستطيع المحكمة أن ترجح بينة على أخرى وفقًا للمادة 34.,المحكمة تُستخدم في حالات الرجحان بين بينة على أخرى وفقًا للمادة 34.
3536,ما هو شرط العفو من العقوبة المقررة للجرائم التي يكون محلها مالا عاما؟,التبليغ عن الجريمة قبل اكتشافها ورد المال محل الجريمة.,"يجب على المحكمة ان تقضي بالحد الأدنى للعقوبة، إذا كانت الجريمة التي ارتكبتها الشركاء قد يكون محلها مالا عاما، وتم اكتشافها قبل صدور الحكم النهائي بها، وتم التبليغ عنها","يجب أن يكون التبليغ قبل اكتشاف الجريمة. إذا حصل التبليغ بعد اكتشاف الجريمة وقبل صدور الحكم النهائي بها، فيجب على المحكمة أن تقضي بالحد الأدنى للعقوبة ويجب عليها أخ",يجب أن يكون التبليغ قبل اكتشاف الجريمة.,يجب أن يكون التبليغ قبل اكتشاف الجريمة وينتج عنه رد المال محل الجريمة.
1398,ما هي الاستثناءات من المصروفات التي يمكن تغطيتها بمستحقات الامتياز؟,المصروفات القضائية.,"(1) أ- امتياز الملكية
(2) ب- امتياز المشاركة
(3) ج- امتياز الاستغلال
(4) د- امتياز الإستعمال
(5) هـ- امتياز الإنتاج

### Question:
ما هي","يستوفى الامتياز من ثمن الاموال المتعلقة بالامتياز في أي يد كانت قبل أي حق آخر عدا المصروفات القضائية. 

الجواب هو: 
الاستثناءات من المصروفات التي يمكن تغطيتها بمستحقات الامتي",لا يجوز تغطية المصروفات القضائية بمستحقات الامتياز.,يمكن تغطية المصروفات القضائية.
1244,متى ينتهي حق الحكر طبقاً للمادة 1260؟,ينتهي حق الحكر بحلول الأجل المحدد له.,"The right of usufruct ends at the expiration of the specified period.
It ends before the expiration of the specified period if the usufructuary dies before building or planting unless all heirs request that usufruct continue and the trustee approves.
It also ends before the expiration of the specified period if the usufruct",ينتهي حق الحكر بحلول الأجل المحدد له أو بموت المحتكر أو استبداله أو نزع ملكيته للمصلحة العامة. يُحدد الأجل في المادة 1260. ويُستثنى من ذلك إذا طلب جميع الورث,ينتهي حق الحكر بحلول الأجل المحدد له وفقاً للمادة 1260.,ينتهي حق الحكر بحلول الأجل المحدد له.
1628,ما يلزم صاحب العمل عند انتهاء خدمة العامل؟,يلزم صاحب العمل إعطاء العامل شهادة خدمة ورد ما أودعه العامل لديه.,"ما يلزم صاحب العمل عند انتهاء خدمة العامل هو: 
- إعطاء العامل شهادة خدمة تذكر فيها اسم العامل و نوع عمله وتاريخ التحاقه بالخدمة وتاريخ انتهاء الخدمة.
- إعطاء العامل ما أود",يجب على صاحب العمل عند انتهاء خدمة العامل أن يعطي له شهادة خدمة تضم اسم العامل و نوع عمله وتاريخ التحاقه بالخدمة وتاريخ انتهاء الخدمة. كما يلزمه برد ما أودعه العامل لديه من أوراق,يلزم صاحب العمل عند انتهاء خدمة العامل بإعطائه شهادة خدمة وبرد ما أودعه العامل لديه من أوراق أو شهادات أو أدوات.,يلزم صاحب العمل برد ما أودعه العامل لديه من أوراق أو شهادات أو أدوات.
4809,ما هي السياقات التي تجعل الذم أو القدح مشروعا؟,عندما يتعلق الأمر بصحيح ويعود بالفائدة على المصلحة العامة.,سيتم نشر المواد التي تكون ذما أو قدحا مشروعة إذا كان موضوع الذم أو القدح صحيحا ويعود نشره بالفائدة على المصلحة العامة أو إذا كان موضوع الذم أو القدح قد نشر من قبل الحكومة أو مجلس الأمة أو في مستند,"حسناً. لكي تكون الذم أو القدح مشروعا، يجب أن يفي النشر بالشروط المحددة في المادة 198 من قانون العقوبات في الأردن. هذه الشروط هي:
1- أن يكون موضوع الذم أو القدح صحيحا ويع",عندما يكون الذم أو القدح صحيحا ويعود نشره بالفائدة على المصلحة العامة.,إذا كان النشر يعود بالفائدة على المصلحة العامة أو إذا كان موضوع الذم أو القدح صحيحا.
2931,ما هي الحالات التي يُسمح فيها لذوي المصلحة بالدخول في دعوى قضائية؟,يُسمح لذوي المصلحة بالدخول في دعوى قضائية إذا كانوا يرغبون في الانضمام إلى أحد الخصوم أو يرغبون في طلب حكم لأنفسهم.,"ما هي الحالات التي يُسمح فيها لذوي المصلحة بالدخول في دعوى قضائية؟
The answer to this question is provided in the second paragraph of the input text, where it states that ""كل ذي مصلحة يجوز ان يدخل في الدعوى بانضم","حسناً. من خلال المادة 114 في قانون المادة 114 في قانون الدعاوى القضائية 2008، يُسمح لذوي المصلحة بالدخول في دعوى قضائية في الحالات التالية:
1. يمكن لذي المصلحة أن",يُسمح لذوي المصلحة بالدخول في دعوى قضائية في حالات مثل أنضمامه إلى أحد الخصوم أو طلب الحكم لنفسه بطلب مرتبط بالدعوى.,يجوز لذوي المصلحة الدخول في دعوى قضائية بانضمامهما لاحد الخصوم ويعفى من دفع الرسوم المقررة.
2162,كيف يتم تنفيذ الاستنابة وإرسال محضرها وفقا للمادة 80؟,يتم تنفيذ الاستنابة وإرسال محضرها الى المدعي العام المستنيب على المدعي العام المستناب وفقا للمادة 80.,"في المادة 80، يتم تنفيذ الاستنابة من قبل المدعي العام المستناب. ثم يتم إرسال محضر الاستنابة إلى المدعي العام المستنيب.

### Question:
كيف يتم تنفيذ الاستنابة وإرسال محضرها وفقا للمادة 80","تتم تنفيذ الاستنابة وإرسال محضرها عن طريق المدعي العام المستناب، وفقاً للمادة 80، حيث يسمع الشهود، ويتم إرسال محضر الاستنابة إلى المدعي العام المستناب. 

هذا الإجابة ي",يجب على المدعي العام المستناب تنفيذ الاستنابة وإرسال محضرها إلى المدعي العام المستنيب.,يتم تنفيذ الاستنابة وإرسال محضرها من قبل المدعي العام المستناب وفقا للمادة 80.
1221,ما هو تأثير زوال البناء أو الغراس على حق المساطحة؟,لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.,"لا يؤثر زوال البناء أو الغراس على حق المساطحة ، لأنه يظل في الحقوق المتفرعة عن حق الملكية ، ويستمر حتى انتهاء المدة المحددة.

### Answer in English:
The expiration of the building or grass does not affect the","لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.

### Explanation:
حسناً. في المادة 1231 من قانون الأراضي في الأردن، يتم تأكيد أن حق المساطحة لا ينتهي بزوال",لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.,لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.
5512,ما هي العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54؟,يتم اتخاذ إجراءات قانونية ضدهم وفقا لأحكام المواد 46 و47 و49 و50 و51 من القانون.,"العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54 هي:
1. الحبس لحد مدة ثلاث سنوات.
2. الغرامة من 1000 دينار لحد 5000 دي","الجواب هو: العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54 هي:
- السجن لمدة لا تقل عن سنة ولا تزيد على خمس سنين مع الغرامة من (500) إلى (5000) دينار.
- الغ",تطبق أحكام المواد (46) (47) (49) (50) (51) من القانون.,الاعتداء على الحقوق المنصوص عليها في المادة 54.
