id,question,ground_truth,fine_tuned_llama3.1
2969,متى يُقبل طلب الرد؟,يُقبل طلب الرد إذا تم تقديمه قبل الدخول في الدعوى أو المحاكمة.,يُقبل طلب الرد قبل الدخول في الدعوى أو المحاكمة.
2284,ما هو الإجراء الذي يجوز اتخاذه حتى مع وقف الدعوى وفقاً للمادة 140؟,يجوز اتخاذ الإجراءات والتدابير الضرورية أو المستعجلة مثل التوقيف وإخلاء السبيل حتى مع وقف الدعوى.,يجوز للمحكمة أن توقف الدعوى وتحدد للمشتكى عليه أو للمدعي بالحق الشخصي أو للمجني عليه أجلًا لرفع المسألة إلى المحكمة المختصة.
3177,ما هو دور المحكمة وفقًا للمادة 34؟,دور المحكمة وفقًا للمادة 34 هو ترجيح البينة بين الأدلة والشهادات في الدعوى.,تستطيع المحكمة أن ترجح بينة على أخرى وفقًا للمادة 34.
3536,ما هو شرط العفو من العقوبة المقررة للجرائم التي يكون محلها مالا عاما؟,التبليغ عن الجريمة قبل اكتشافها ورد المال محل الجريمة.,يجب أن يكون التبليغ قبل اكتشاف الجريمة.
1398,ما هي الاستثناءات من المصروفات التي يمكن تغطيتها بمستحقات الامتياز؟,المصروفات القضائية.,لا يجوز تغطية المصروفات القضائية بمستحقات الامتياز.
1244,متى ينتهي حق الحكر طبقاً للمادة 1260؟,ينتهي حق الحكر بحلول الأجل المحدد له.,ينتهي حق الحكر بحلول الأجل المحدد له وفقاً للمادة 1260.
1628,ما يلزم صاحب العمل عند انتهاء خدمة العامل؟,يلزم صاحب العمل إعطاء العامل شهادة خدمة ورد ما أودعه العامل لديه.,يلزم صاحب العمل عند انتهاء خدمة العامل بإعطائه شهادة خدمة وبرد ما أودعه العامل لديه من أوراق أو شهادات أو أدوات.
4809,ما هي السياقات التي تجعل الذم أو القدح مشروعا؟,عندما يتعلق الأمر بصحيح ويعود بالفائدة على المصلحة العامة.,عندما يكون الذم أو القدح صحيحا ويعود نشره بالفائدة على المصلحة العامة.
2931,ما هي الحالات التي يُسمح فيها لذوي المصلحة بالدخول في دعوى قضائية؟,يُسمح لذوي المصلحة بالدخول في دعوى قضائية إذا كانوا يرغبون في الانضمام إلى أحد الخصوم أو يرغبون في طلب حكم لأنفسهم.,يُسمح لذوي المصلحة بالدخول في دعوى قضائية في حالات مثل أنضمامه إلى أحد الخصوم أو طلب الحكم لنفسه بطلب مرتبط بالدعوى.
2162,كيف يتم تنفيذ الاستنابة وإرسال محضرها وفقا للمادة 80؟,يتم تنفيذ الاستنابة وإرسال محضرها الى المدعي العام المستنيب على المدعي العام المستناب وفقا للمادة 80.,يجب على المدعي العام المستناب تنفيذ الاستنابة وإرسال محضرها إلى المدعي العام المستنيب.
1221,ما هو تأثير زوال البناء أو الغراس على حق المساطحة؟,لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.,لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.
5512,ما هي العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54؟,يتم اتخاذ إجراءات قانونية ضدهم وفقا لأحكام المواد 46 و47 و49 و50 و51 من القانون.,تطبق أحكام المواد (46) (47) (49) (50) (51) من القانون.
5316,ما هي المدن التي تشكل محاكم استئناف فيها وتعين لكل منها رئيس وقضاة؟,تشكل محاكم استئناف في عمان واربد ومعان، وتعين لكل منها رئيس وعدد من القضاة.,عمان، أردن، وماعان.
3364,متى يلزم الدائن بإثبات وجود التركة في يد الورثة؟,يلزم الدائن إثبات وجود التركة في يد الورثة بدعوى أصلية إذا انكر الورثة ملكية أموال التركة.,يجب على الدائن إثبات وجود التركة في يد الورثة بدعوى أصلية إذا انكر الورثة وجود أموال التركة أو لم يتمكن الدائن من إثبات ذلك بأوراق رسمية.
4785,ماذا يحدث إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة؟,يضاف إلى العقوبة التي يستحقها الفاعل من الثلث إلى النصف.,يضاف إلى العقوبة التي يستحقها الفاعل بمقتضى أحكام القانون من الثلث إلى النصف.
4709,كيف يتم تحديد إذا كانت العملية المصرفية لها علاقة بنشاط إرهابي؟,يتم التحقيق في القضية وإذا ثبت للمدعي العام أن للعملية العلاقة بنشاط إرهابي يتم إحالة القضية إلى المحكمة المختصة.,يتم تحديد ذلك بالتنسيق والتعاون مع البنك المركزي واي جهة ذات علاقة، محلية كانت أو دولية.
5254,ما هي الممارسات المحظورة التي يجرمها القانون فيما يتعلق بنظام المياه؟,التنقيب بدون إذن، الحفريات العميقة، النزع من الضفاف، التعدي على حدود المياه، ومنع جري المياه العمومية.,الهدم والتخريب.
3005,ما هي الأسباب التي قد تدفع المحكمة لإصدار مذكرة بحظر مغادرة البلاد؟,الأسباب تشمل تصرف المدعى عليه بجميع أمواله، أو هروبها خارج البلاد، أو نية المغادرة بغرض تأخير دعوى الخصم.,إذا اقتنعت المحكمة بأن المدعي عليه قد تصرف بجميع أمواله أو هربها خارج البلاد.
661,ما هو الموضوع القانوني الذي يتناوله هذا النص؟,يتناول هذا النص الباب الثاني- عقود المنفعة - القانون المدني الأردني لسنة 1976 الفصل الأول- الإجارة - من القانون المدني الأردني لسنة 1976 المحافظة على الماجور.,المحافظة على الماجور.
