id,question,ground_truth,llama3.1_instruct
2969,متى يُقبل طلب الرد؟,يُقبل طلب الرد إذا تم تقديمه قبل الدخول في الدعوى أو المحاكمة.,يُقبل طلب الرد بتقديم استدعاء إلى رئيس محكمة البداية إذا كان المطلوب رده قاضي صلح أو أحد قضاة المحكمة البدائية أو إلى رئيس محكمة الاستئناف إذا كان قاضي استئناف أو رئيس
2284,ما هو الإجراء الذي يجوز اتخاذه حتى مع وقف الدعوى وفقاً للمادة 140؟,يجوز اتخاذ الإجراءات والتدابير الضرورية أو المستعجلة مثل التوقيف وإخلاء السبيل حتى مع وقف الدعوى.,"الإجابة الصحيحة هي: أن توقف الدعوى.  
لأن المادة 140 من قانون الاختصاصات تنص على أن يجوز للمحكمة وقف الدعوى حتى يتم الفصل في دعوى أخرى. وتحدد المادة 140 في فقرتها"
3177,ما هو دور المحكمة وفقًا للمادة 34؟,دور المحكمة وفقًا للمادة 34 هو ترجيح البينة بين الأدلة والشهادات في الدعوى.,ينبغي للمحكمة أن ترجح بينة على أخرى وفاقاً لما تستخلصه من ظروف الدعوى، كما لا يجوز لها أن تصدر حكما في أية قضية بالاستناد الى شهادة شاهد فرد إلا إذا لم يعترض عليها ال
3536,ما هو شرط العفو من العقوبة المقررة للجرائم التي يكون محلها مالا عاما؟,التبليغ عن الجريمة قبل اكتشافها ورد المال محل الجريمة.,يجب أن يكون التبليغ قبل اكتشاف الجريمة. إذا حصل التبليغ بعد اكتشاف الجريمة وقبل صدور الحكم النهائي بها، فيجب على المحكمة أن تقضي بالحد الأدنى للعقوبة ويجب عليها أخ
1398,ما هي الاستثناءات من المصروفات التي يمكن تغطيتها بمستحقات الامتياز؟,المصروفات القضائية.,"يستوفى الامتياز من ثمن الاموال المتعلقة بالامتياز في أي يد كانت قبل أي حق آخر عدا المصروفات القضائية. 

الجواب هو: 
الاستثناءات من المصروفات التي يمكن تغطيتها بمستحقات الامتي"
1244,متى ينتهي حق الحكر طبقاً للمادة 1260؟,ينتهي حق الحكر بحلول الأجل المحدد له.,ينتهي حق الحكر بحلول الأجل المحدد له أو بموت المحتكر أو استبداله أو نزع ملكيته للمصلحة العامة. يُحدد الأجل في المادة 1260. ويُستثنى من ذلك إذا طلب جميع الورث
1628,ما يلزم صاحب العمل عند انتهاء خدمة العامل؟,يلزم صاحب العمل إعطاء العامل شهادة خدمة ورد ما أودعه العامل لديه.,يجب على صاحب العمل عند انتهاء خدمة العامل أن يعطي له شهادة خدمة تضم اسم العامل و نوع عمله وتاريخ التحاقه بالخدمة وتاريخ انتهاء الخدمة. كما يلزمه برد ما أودعه العامل لديه من أوراق
4809,ما هي السياقات التي تجعل الذم أو القدح مشروعا؟,عندما يتعلق الأمر بصحيح ويعود بالفائدة على المصلحة العامة.,"حسناً. لكي تكون الذم أو القدح مشروعا، يجب أن يفي النشر بالشروط المحددة في المادة 198 من قانون العقوبات في الأردن. هذه الشروط هي:
1- أن يكون موضوع الذم أو القدح صحيحا ويع"
2931,ما هي الحالات التي يُسمح فيها لذوي المصلحة بالدخول في دعوى قضائية؟,يُسمح لذوي المصلحة بالدخول في دعوى قضائية إذا كانوا يرغبون في الانضمام إلى أحد الخصوم أو يرغبون في طلب حكم لأنفسهم.,"حسناً. من خلال المادة 114 في قانون المادة 114 في قانون الدعاوى القضائية 2008، يُسمح لذوي المصلحة بالدخول في دعوى قضائية في الحالات التالية:
1. يمكن لذي المصلحة أن"
2162,كيف يتم تنفيذ الاستنابة وإرسال محضرها وفقا للمادة 80؟,يتم تنفيذ الاستنابة وإرسال محضرها الى المدعي العام المستنيب على المدعي العام المستناب وفقا للمادة 80.,"تتم تنفيذ الاستنابة وإرسال محضرها عن طريق المدعي العام المستناب، وفقاً للمادة 80، حيث يسمع الشهود، ويتم إرسال محضر الاستنابة إلى المدعي العام المستناب. 

هذا الإجابة ي"
